127.0.0.1 - - [09/Jul/2023:09:49:41 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:49:44 +0530] "GET /Java_Expense_Tracker/ HTTP/1.1" 200 3259
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:49:45 +0530] "GET /Java_Expense_Tracker/img/expense1.png HTTP/1.1" 200 69698
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:49:45 +0530] "GET /Java_Expense_Tracker/img/expense2.jpeg HTTP/1.1" 200 7507
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:49:45 +0530] "GET /Java_Expense_Tracker/img/expense3.jpeg HTTP/1.1" 200 18245
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:49:45 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:49:52 +0530] "GET /Java_Expense_Tracker/login.jsp HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:49:55 +0530] "POST /Java_Expense_Tracker/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:49:56 +0530] "GET /Java_Expense_Tracker/user/home.jsp HTTP/1.1" 200 3645
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:49:58 +0530] "GET /Java_Expense_Tracker/user/view_expense.jsp HTTP/1.1" 200 3517
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:50:00 +0530] "GET /Java_Expense_Tracker/user/add_expense.jsp HTTP/1.1" 200 4898
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:50:23 +0530] "POST /Java_Expense_Tracker/saveExpense HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:50:23 +0530] "GET /Java_Expense_Tracker/user/add_expense.jsp HTTP/1.1" 200 4898
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:50:26 +0530] "GET /Java_Expense_Tracker/user/view_expense.jsp HTTP/1.1" 200 3871
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:50:37 +0530] "GET /Java_Expense_Tracker/user/index.jsp HTTP/1.1" 404 748
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:50:44 +0530] "GET /Java_Expense_Tracker/index.jsp HTTP/1.1" 200 3618
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:50:45 +0530] "GET /index.jsp HTTP/1.1" 404 739
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:54:34 +0530] "GET /Java_Expense_Tracker/ HTTP/1.1" 200 3259
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:54:35 +0530] "GET /Java_Expense_Tracker/img/expense1.png HTTP/1.1" 200 69698
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:54:35 +0530] "GET /Java_Expense_Tracker/img/expense2.jpeg HTTP/1.1" 200 7507
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:54:35 +0530] "GET /Java_Expense_Tracker/img/expense3.jpeg HTTP/1.1" 200 18245
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:54:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:54:43 +0530] "GET /Java_Expense_Tracker/index.jsp HTTP/1.1" 200 3259
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:54:46 +0530] "GET /Java_Expense_Tracker/login.jsp HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:54:58 +0530] "POST /Java_Expense_Tracker/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:54:58 +0530] "GET /Java_Expense_Tracker/login.jsp HTTP/1.1" 200 3020
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:55:21 +0530] "GET /Java_Expense_Tracker/login.jsp HTTP/1.1" 200 2943
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:55:21 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:55:31 +0530] "POST /Java_Expense_Tracker/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:55:31 +0530] "GET /Java_Expense_Tracker/user/home.jsp HTTP/1.1" 200 3645
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:55:40 +0530] "GET /Java_Expense_Tracker/user/view_expense.jsp HTTP/1.1" 200 3871
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:55:42 +0530] "GET /Java_Expense_Tracker/user/add_expense.jsp HTTP/1.1" 200 4898
0:0:0:0:0:0:0:1 - - [09/Jul/2023:09:55:44 +0530] "GET /Java_Expense_Tracker/user/view_expense.jsp HTTP/1.1" 200 3871
